id,name,query,category,summary,why,desc,tags,price,hours,duration,bestTime,address,lng,lat,zoom,cover,region,nameEn,tagline
cd-park-001,人民公园,人民公园 成都 青羊区,park,成都人过日子的样子都在这儿,喝茶、下棋、相亲角、唱歌的，全在一个园子里。不消费也能坐一下午，没人赶你。,1911 年建的少城公园，是成都第一个公园。园内有鹤鸣茶社、辛亥秋保路死事纪念碑、人工湖。,"免费,本地人多,可久坐",,,1.5h,,青羊区少城路 12 号,,,,,,,
cd-park-002,浣花溪公园,浣花溪公园 成都,park,紧挨杜甫草堂的开放式公园,本地人遛弯的地方，游客很少。水多树多，沿着溪走一圈，比景区里松弛。,和杜甫草堂连成一片，有诗歌大道和万树山。完全免费，早晚都很热闹。,"免费,安静,适合散步",,,1h,,青羊区青华路,,,,,,,
cd-park-003,望江楼公园,望江楼公园 成都,park,薛涛的竹林和江边茶座,全国竹子品种最全的园子之一。江边那排竹椅茶座，坐着看锦江水慢慢走，是很成都的一件事。,为纪念唐代女诗人薛涛而建，园内崇丽阁临江而立。竹类品种一百多种。,"竹林,茶座,临江",,,1.5h,下午,武侯区望江路 30 号,,,,,,,
cd-cafe-001,鹤鸣茶社,鹤鸣茶社,cafe,人民公园里的百年露天茶馆,成都最不装的地方。几十块钱坐一下午，旁边全是本地老头在摆龙门阵，掏耳朵师傅的音叉声一直响。,1923 年就开在这里的老茶馆。竹椅、盖碗茶、自己端着找位置坐，续水随时喊师傅。,"露天,本地人多,可久坐",人均几十元,,2h,下午,青羊区少城路 12 号人民公园内,,,,,,,
cd-cafe-002,彭镇观音阁老茶馆,观音阁老茶馆 彭镇 双流,cafe,百年老虎灶，摄影师的朝圣地,土墙、老虎灶、被几十年脚步磨凹的地面。天没亮就有老人来喝头道茶，那个场景在成都别处已经看不到了。,在双流彭镇，离市区约 20 公里。建议一早去，光线和人都对。茶钱很便宜，拍照请先打招呼。,"老茶馆,摄影,要早起",人均十几元,,1.5h,清晨,双流区彭镇马市坝街,,,,,,,
cd-food-001,陈麻婆豆腐（东华门街店）,陈麻婆豆腐,food,麻婆豆腐的祖师铺,这道菜就是从这家传出去的。麻和辣的配比和外地吃到的完全两回事，值得专门来一趟。,清同治年间开的老号。除了麻婆豆腐，蚂蚁上树和夫妻肺片也都是川菜正统做法。,"老字号,川菜,适合两三人",,,1h,,青羊区东华门街 51 号,,,,,,,
cd-food-002,明婷饭店,明婷饭店 成都,food,藏在居民楼下的苍蝇馆子,脑花豆腐和蒜泥白肉是招牌。环境很一般，味道很硬，饭点永远要排队——这就是成都苍蝇馆子的标准长相。,开在老小区楼下的家常川菜馆，位置不好找，名气全靠口口相传。人多建议错峰。,"苍蝇馆子,要排队,重口",人均百元上下,,1h,,武侯区expo 附近（以地图为准）,,,,,,,
cd-food-003,玉林串串一条街,玉林生活广场 成都,food,串串香扎堆的居民区街道,玉林一带是串串的大本营，一条街上好几家都不踩雷。签子按根算，吃完数签子，这个流程本身就挺有意思。,玉林生活广场周边聚集了多家老牌串串店。晚上最热闹，露天摆桌，夏天尤其。,"串串,夜宵,人均不高",人均几十元,,1.5h,晚上,武侯区玉林路一带,,,,,,,
cd-food-004,洞子口张老二凉粉,洞子口张老二凉粉,food,文殊院街边的凉粉老铺,甜水面、伤心凉粉、肥肠粉都在一家解决。站着吃的小店，十几块钱吃饱，是成都小吃最日常的打开方式。,开在文殊院街上的老牌小吃店，常年排队。招牌是红油凉粉和甜水面，配肥肠粉正好。,"小吃,便宜,要排队",人均二十元上下,,0.5h,上午或下午,青羊区文殊院街 39 号,,,,,,,
cd-night-001,九眼桥酒吧一条街,九眼桥 成都,night,锦江边的通宵地带,成都夜生活的地标。桥下沿江一排酒吧，热闹到天亮。想安静喝一杯的话这里不合适，想看成都怎么嗨就来对了。,以九眼桥为中心的滨江路一带，兰桂坊、各类 livehouse 和清吧混在一起。打车方便。,"夜生活,热闹,通宵",,,,晚上十点后,锦江区滨江东路,,,,,,,
cd-shop-001,太古里 · 大慈寺,成都太古里,shop,低檐商业街包着一座唐代古寺,新旧贴在一起却不别扭，是成都城市气质最浓缩的一处。晚上亮灯后最好看，不买东西也值得穿过去。,开放式街区，川西民居的坡屋顶配国际品牌，中间围着唐代大慈寺。和春熙路连在一起。,"夜景,逛街,免费",,,2h,晚上,锦江区中纱帽街 8 号,,,,,,,
cd-shop-002,春熙路,春熙路 成都,shop,成都最老的商业步行街,IFS 楼顶那只爬墙熊猫是打卡点。和太古里挨着，两边可以一起逛。,1924 年开街，现在是商场、老字号和小吃混合的步行街区，一直热闹到很晚。,"步行街,人多,小吃",,,1.5h,,锦江区春熙路,,,,,,,
cd-station-001,成都东站,成都东站,station,高铁进出成都的主门户,地铁 2、7 号线直达，去都江堰、青城山、乐山的动车多在这里发。到市中心大约二十分钟地铁。,西南地区最大的铁路客运站之一，出站按指示牌走地铁通道，别从出租车口绕。,"高铁,地铁直达",,,,,成华区保和街道,,,,,,,
cd-airport-001,成都双流国际机场,成都双流国际机场,airport,离市区最近的机场,地铁 10 号线直接进城，比打车稳。注意成都有两个机场，天府机场在更远的简阳，别走错。,双流机场距市中心约 16 公里，地铁 10 号线换 3 号线可到市区。国内航班为主。,"机场,地铁10号线",,,,,双流区自由路,,,,,,,
cd-food-005,奎星楼街,奎星楼街 成都,food,宽窄巷子隔壁的小馆子一条街,逛完宽窄巷子走三分钟就到，价格和味道都比景区里诚实得多。冒椒火辣、马旺子这类店都在这条街上。,少城片区的一条小街，近年聚了很多川菜小馆和串串店，晚上最热闹。,"小馆子,本地人多,挨着宽窄巷子",人均几十元到百元,,1.5h,晚上,青羊区奎星楼街,,,,,,,
cd-airport-002,成都天府国际机场,成都天府国际机场,airport,成都第二座机场，在东边的简阳,离市区约 50 公里，比双流远得多。订票时务必看清是哪一个——两个机场之间开车要一个多小时。,2021 年启用，主要承担国际和部分国内航线。地铁 18 号线直达，到天府广场约一小时。,"机场,离市区远,地铁18号线",,,,,简阳市,,,,,,,
